modified_id,keyword,cluster
7821,point top ipa ever,style
7821,best flavor new belgium,style
7821,got good kick,taste
3640,would say winner,style
3640,uncle enjoys though,style
3640,fan dark beer,taste
6396,take smell determine fresh scent hops bit pine,ingredients
6396,rather good offering favorite ipa style,style
6396,pine surviving bit orange rind,aroma
6396,six rack closest heb supermarket,taste
6396,orange body completed substantial,appearance
2661,one perfect hot summer backyard bbqs,season
2661,one cleanest tasting domestic beers ever,taste
2661,beer snobs critique based exotic,taste
2661,enjoy many styles beer,taste
2661,interesting taste profile,taste
6052,vintage dark brown colour thin tan head,appearance
6052,taste yeast,ingredients
6052,soft carbonation,carbonation
6052,slightly boozy,taste
6052,full body,taste
9552,pours hazy yellow aroma citrus resinous hops,ingredients
9552,flavor mild moderate bitterness citrus,taste
9552,little pine,aroma
9552,bready malt,taste
3267,one strong bitter would say man audience,finish
3267,next time would probably pass,style
3267,time favorite corona light,taste
3267,example husband liked,style
3267,really taste,taste
2237,clear deep golden thin white head,appearance
2237,got awful lot depth helles,style
2237,aroma big lager malt,taste
2237,keg euston tap,place_of_service
2237,flavour lingering nicely,finish
5754,pours pitch black color small light brown head,appearance
5754,roasted malt chocolate maple syrup,taste
5754,taste light sweet sherry,taste
5754,thanks gregor sharing,taste
5754,pohjala simply dissappoint,style
506,would definitely recommend,style
506,perfect late summer,season
506,beer refreshing crisp,taste
506,bad gone year,style
506,love hint blueberry,taste
4872,fiftyfifty imperial eclipse stout grand cru,style
4872,flavor sweet mild bitter notes wood,taste
4872,opaque black brown head,appearance
4872,aroma notes wood,taste
4872,bottle sample tasting,packaging
4995,slightly sourish nose red berries,aroma
4995,tart taste notes red berries,taste
4995,hazy amber colour frothy,appearance
4995,touch root vegetables ginger,taste
4995,lemon dry tart finish,taste
6260,well complemented dark cocoa lip smacking sweetness,ingredients
6260,roastiness bit stronger would looking moment,style
6260,large compact light brown head,appearance
6260,dark chocolate delicate roasted malt,ingredients
6260,thin creamy brown head,appearance
2684,w rootbeer tastes fresh clean real thirst quenching soda,taste
2684,buy diet root beer find also purchase,taste
2684,often sale stock hand time,taste
2684,consider healthier choice cola drinks,taste
2684,w ten soda,carbonation
398,love taste reason around city carry often definitely often,taste
1311,light drying close splashed juicy hop bitterness,ingredients
1311,almost clear golden orange white head,appearance
1311,taste comprises orange zest,taste
1311,nose orange pith,aroma
1311,decent cask ipa,style
2271,hazy amber large white foamy head,appearance
2271,tingly hop bitter finish,ingredients
2271,average hop bitter lager,ingredients
2271,medium hop bitter,ingredients
2271,taste toasted malts,ingredients
711,refreshing tasty similar corona without harsh taste get corona,taste
711,wish bigger bottles like unique design,packaging
711,tasty go great grilling fajitas steaks,season
711,go beer drink,taste
3999,always enjoyed ice cold pabst long hard day weekend,taste
3999,many years drank pbr truly enjoyed,taste
3999,awhile still grab cold one reminisce,taste
3999,`` cheap beer '' delicious refreshing,taste
3999,hipsters happened ruined good thing,taste
2722,taste like margarita great,ingredients
2722,super strong either good,taste
6105,opaque black brown coloured pour lasting fine tan head,appearance
6105,panda home thanks shig,taste
6105,flavour composed semi sweet,taste
6105,palate semi sweet,palate
6105,aroma semi sweet,aroma
8659,slightly nutty malts lager yeast,ingredients
8659,spicy hop finish,ingredients
8659,mild toffee,ingredients
8659,fruit malty,taste
8659,flavor caramel,ingredients
2732,cook lot love latin food flavor enhanced good beer,taste
2732,husband love mexican beer,taste
2732,pacifio clara smooth,taste
9988,creamy finger head leaves lots lace especially rotated,appearance
9988,mostly transparent straw little gold tinge,appearance
9988,signature sweetwater hop hash nose,ingredients
9988,perceptible glass half strength,packaging
9988,ellipsis trophy glass,packaging
3159,love home nice cold one pub always refreshing never disappointed taste,taste
3159,love,taste
4658,slight toffee malts,ingredients
4658,flavor toffee,ingredients
4658,smooth finish,taste
4658,mild fruit,taste
4658,berries malty,taste
2749,also use making chilli beer chicken,taste
2749,find east coast southern states,taste
2749,yes met expectations,style
2749,true american lager,taste
2749,love beer,taste
4036,tried several hard lemonades taste chalky comes flavored versions mike,ingredients
4036,black cherry one two favorite types mike,ingredients
4036,issue one top favorite alcoholic drinks,taste
4036,also go go pick something,style
4036,hard lemonade,ingredients
4790,oz bottle arrow,packaging
4790,moderate sweet taste,taste
4790,mild roast malt,style
4790,lighter moderate carbonation,carbonation
4790,light moderate bitter,finish
3263,taste great strong alcoholic tinge either,alcohol
3263,super good absolutely reason,style
3263,great new drinkers,taste
5311,grain malt taste apparent typical wheat beers,taste
5311,pours abundant small bubbled head disappers,appearance
5311,alcohol free beer really great overall,taste
5311,small particles floating one poured,appearance
5311,typical wheat beer aroma,style
2677,super cold fridge refreshing,taste
2677,love mikes hard lemonade,ingredients
2677,mango one favorites,taste
2677,good flavor,taste
1430,bewildering picture production team wide smiles congratulatory handshakes horrid thing entombed within sixteen ounce,taste
1430,plus chemically shot something would use embalming fluid,taste
1430,altogether unpleasant flavor seems like sourish low,finish
1430,oddly smelling hint something bit fetid,aroma
1430,though real head formation speak,appearance
7867,beer pours nice dark brown color,appearance
7867,body pretty thick good abv,taste
7867,think get roasted malt aroma,style
7867,clings glass like super glue,appearance
7867,lots dark fruit hits,taste
6186,amber colour average huge,appearance
6186,mildly prickly carbonation,carbonation
6186,hints crisp bread,ingredients
6186,doughy yeasty overtones,ingredients
4638,coppery color poured thin cream colored lace ring,appearance
4638,aroma muted due coldness beer sweet,taste
4638,copper color roasted malt aroma,style
4638,toasted malt flavor note caramel,ingredients
4638,flavor caramel butterscotch,ingredients
2620,caramel burnt sugar top bready malts enough bitterness keep sweetness bay,ingredients
2620,nothing write home obviously,style
2620,brewed shepherd neame uk,taste
2620,actually terrible thought going,style
2620,body also decent,style
5852,floral hoppy finish cream,taste
5852,shared lovely anke,taste
5852,citrus zest creamy,taste
5852,taste sweet strawberry,taste
5852,dangerously sweet,taste
2538,makes think mild brett thing going,ingredients
2538,nothing hazy pale ale,appearance
2538,even guess style blind,style
2538,big airy foamy head,appearance
2538,lighter medium body,taste
3486,like spicy twist drinking highly recommend giving try,taste
3486,something could drink lot nice specialty flavor,style
3486,lots bitter hops cut spicy hit,ingredients
91,would prefer drink based preference,taste
91,drink included mexican bulldog,taste
91,perfect casual drinking friends,taste
91,tastes like beer,taste
91,try least,style
4912,taste coffee cinnamon coconut vanilla oak bourbon barrel wood toffee malted barley shoe leather tree bark roasted malts macadamia,ingredients
4912,aromas coconut vanilla oak bourbon chocolate malted barley toffee,taste
4912,incredible stuff huge coconut vanilla oak overtone,taste
4912,overall,style
2651,added bonus also comes cans easier transportation,taste
2651,far favorite summer beer,season
2651,great refreshing taste,taste
1303,impressed adding vanilla beans ofallons base pumpkin beer turned one favorite desserts craft beer,taste
1303,appearance clear orange amber pours low white head dissipates gradually minimal lacing,appearance
1303,vanilla beans give impression pumpkin pie whip cream added,taste
1303,complimented moderately creamy feel vanilla beans smoothens take,taste
1303,vanilla pumpkin beer crafted ofallon brewery maryland heights,taste
4883,pale golden pour soapy white head thick bands lacing,appearance
4883,bready malts cracker sessionable pretty solid,taste
4883,bready malts cracker citra hops sure,ingredients
4883,taste rindy bitter lot lemon,taste
4883,orange toasted malts,taste
1403,thin soapy white layer top,appearance
1403,short lasting finish,taste
1403,nice mouthfeel texture,taste
1403,minimal lacing goes,appearance
1403,medium high carbonation,carbonation
4089,love light taste sunny afternoon,season
4089,slice lime lemon,ingredients
4089,refreshing ale,style
113,especially orange wedge squeezed,ingredients
113,always good go beer,taste
113,one husband,style
113,beer,taste
113,white,appearance
2428,brown pour small beige head,appearance
2428,overflows sweetness rum caramel aftertaste,ingredients
2428,rum brings alcoholic element,alcohol
2428,still lots smell taste,taste
2428,maybe even bit much,style
9336,bottle poured clear dark reddish brown small lingering tan head,appearance
9336,palate light bodied smooth dry finish,palate
9336,cherry light vanilla,style
9336,vanilla hint cherry,taste
9336,flavors roasted malt,style
5966,different weitzen type beers normally brewed schneider,taste
5966,medium sized head disappeared fairly quickly,appearance
5966,sparkling wine style bubbles,appearance
5966,fresh noble hops,ingredients
5966,almost tomato notes,taste
3410,definitely boy beverage ill purchase,style
3410,packaging okay,taste
3410,okay,taste
3410,eh,style
3254,like drink hot summer days,season
3254,goes great home made pizza,taste
3254,flavour delicious,taste
2799,bad thing would say addictive,style
2799,taste divine,taste
2799,love product,style
3795,tried dos equis strictly bc interesting man room,taste
3795,much strong beer flavor,taste
3795,actually really like,style
3795,world commercials,style
3795,smooth taste,taste
1833,bottle poured clear dark reddish brown lasting creamy tan head,appearance
1833,bakers cocoa light earthiness smooth dry lingering bakers cocoa finish,ingredients
1833,palate medium bodied smooth dry finish,palate
1833,bakers cocoa,ingredients
1833,earthiness hint coffee,ingredients
1267,taste big sweet chewy nut brown malt toffee grass dry back,taste
1267,palate medium heavy bodied soft carbonation dry finish,taste
1267,pour clear brown copper light tan head,appearance
1267,aroma nut brown grass caramel toffee,taste
1267,oz purchased single ck feed,taste
9267,white resilient head,taste
9267,delta flight course,place_of_service
9267,unsweet fruit peel,taste
9267,tropical fruit,taste
9267,pretty solid,style
2696,would highly recommend cold beverage shot summer day,season
2696,goes smooth taste like tea,taste
2696,yummy,taste
9951,smells like funky belgian yeast,ingredients
9951,really mild trippel makes drinkable,taste
9951,taste fruity like white wine,taste
9951,fruity wine dank hops,ingredients
9951,thin bodied medium carbonation,carbonation
2693,love able enjoy pk flavor wonderful,taste
2693,packaging nice convenient,taste
8898,flavor moderately bitter tropical fruit,taste
8898,pours lightly hazy gold,appearance
8898,aroma mainly citrus hops,ingredients
8898,quite good,style
8898,little caramel,ingredients
4778,twist almost smokey note really made one interesting,taste
4778,poured clear orange color fluffy white head,appearance
4778,hint sea breeze one,season
4778,big humidor notes one,taste
4778,draft pour goodwood brewing,place_of_service
2045,fresh caramel fresh vanilla chocolate fudge notes aroma,taste
2045,gooey taste good bit hoppy bitterness finish,ingredients
2045,dark brown opaque ring beige head,appearance
2045,oily body soft carbonation,carbonation
2045,tasty stout,style
9104,pours hazy gold medium white head leaving spotty lacing,appearance
9104,aroma toasted grain earth,taste
9104,light crisp finish,taste
9104,thin body,taste
9104,tap brewery,place_of_service
9844,final dryness lead decided bitterness,finish
9844,`` amiability '' entry beer,taste
9844,remembered evident woody herbaceous,ingredients
9844,remember malty part incisive,taste
9844,instead everything played,style
3083,big bottle warms quick wind,taste
3083,refreshing specially summer pool,season
3083,prefere small bottle,packaging
7118,texture yields decent body peppy fizz,carbonation
7118,pours hazy topaz thick eggshell head,appearance
7118,flavor provides dank piney hops,ingredients
7118,aroma gives dank resiny hops,ingredients
7118,citrus raw malt notes,ingredients
3354,love strawberry flavored anything perfect example soo good,taste
3354,always either strawberry flavored ones apple fridge,taste
3354,like beer much cider girl way,taste
3354,fan apple definitely good choice,taste
3354,mom big fan well,taste
2778,thing would change would love larger cases,style
2778,friends always plus,taste
2778,fair priced find,price
2778,mike,taste
2778,good,taste
5015,fruity aroma hops citrus notes exotic fruits fruity flavour hops citrus notes pine needles,ingredients
5015,hazy golden coloured medium sized white head,appearance
5015,hoppy finish,ingredients
5015,landbohjskolens,place_of_service
1937,pours clear golden color large frothy white head sparkling appearance,appearance
1937,taste starts medium sweet dried fruity yeasty,taste
1937,oily texture lively carbonation palate,carbonation
1937,crazy belgian yeasty ale,style
1937,slightly medicinal funky,taste
505,looking something new drink hot summer day,season
505,tried almost every flavor great,taste
505,seen jack daniels cocktails try,taste
505,instantly fell love southern peach,taste
505,highly encourage anyone tried try,style
816,want sweet beverage outside bbq chilling home,season
816,like sweet beverage,taste
816,go beverage choice,taste
3860,love sweet hard liquor,taste
3860,like cranberry one,taste
5021,oz discount waukesha date weeks ago,taste
5021,really loving half stuff,style
5021,fruity bittersweet finish,finish
5021,tropical fruit,taste
5021,solid mango,taste
4084,think could little less sweet would absolutely recommend anyone,taste
4084,bud light perfect light beer start liking beer,taste
4084,think bud light slightly sweeter coors light,taste
4084,purchased bud light many times,taste
4084,staple,taste
1298,picked mixed pack ingles way mountain north asheville getting road homeward chicago,taste
1298,yeah beautiful thing normal see every day hard say anything new,style
1298,pale yellow golden hazy reminds sun coming,appearance
1298,every brewer worth shit beer like,taste
1298,three breweries town went basically beer,taste
2745,taste wise taste really good make feel bloated like coronas,finish
2745,dark beer drinking love guinness modelo negra,taste
2745,wish would dark beer,taste
2745,bad would buy,price
9946,days best date smell limes,ingredients
9946,kind reminds key lime pie,taste
9946,cream hazy golden color light,appearance
9946,overall refreshing summertime beer,season
9946,light carbonation tastes lime,carbonation
57,added lime juice amp citrus tell ya,ingredients
57,enjoyed bottle balcony soaking socal sun,season
57,become one favorite beers enjoying sun,season
57,citrus notes really shining,taste
57,refreshing crisp,taste
3349,expecting apple cider tasted like straight beer,taste
3349,could really taste apple,taste
338,reasonably priced readily available restaurants bars,taste
338,huge beer drinker much prefer cider,taste
338,easy find stores quick grab home,taste
338,like corona extra slice lime,taste
4831,minimal brown head retention ring around glass legs,appearance
4831,dried mexican mild chili like ancho guajillo,taste
4831,mild ba touch bourbon vanillin,style
4831,years without riding prairies,taste
4831,another fantastic stout prairie,style
9553,poured cloudy yellow orange small lingering white head,appearance
9553,yeast light fruitiness smooth dry moderately bitter finish,ingredients
9553,palate light bodied smooth dry finish,palate
9553,yeast light fruitiness,ingredients
9553,flavors bread,ingredients
1348,prefer licker straight like mane,taste
1348,ribena red crimson cap,appearance
1348,taste comprises sweet berries,taste
1348,nose sweet berry pulp,taste
1348,sweet sugary pap,taste
6276,smooth malty biscuity ale yeasty flavors light tree fruity citrusy tone moderate bitterness,taste
6276,nice floral tree fruity hop nose touch caramel earthy piney undertones,taste
6276,copper hue thin foamy white head,appearance
6276,slightly hazy rich golden,appearance
2779,favorite watermelon love refreshing highly recommend going grab party week,taste
2779,amazing flavor,taste
2691,appeals much drinker like semi sweet drinks,style
2691,would prefer little less sweet,taste
2691,little sweet side,taste
2691,enjoy watermelon flavor,taste
7129,like summer shandy lot ways,taste
7129,one better wheat beers,style
7129,possible beer buy,taste
7129,flavor even lighter,taste
8991,aroma lager yeast dry bready malt faint hop spice,taste
8991,oz pours clear pale golden large white head,appearance
8991,watery malt light metallic mineral,taste
8991,nice aroma lacking much flavor,taste
8991,weak flavors taste,taste
1350,unpleasant pure dimensional alcopop,taste
1350,th tasting fergus gaff,ingredients
1350,palate light mildly dry,palate
1350,reasonable fine carbonation,carbonation
1350,plenty sweet blackberry,taste
9969,average multi ipa meet tropical fruits,style
1,good thing catch quick buzz headache next day killer,taste
1,super super sweet,taste
1,like drinking sugar,taste
4815,gold pour one finger creamy white head,appearance
4815,flavor spicy bitter citrus hint grass,aroma
4815,hints mild pine tropical fruit,aroma
4815,aroma bright citrus,aroma
4815,toasty oily grain,taste
9983,real nice summer drinking beer definitely great project pride month breweries,season
9983,pours awesome kool aid like red fruity aromas apparent smell,taste
9983,craft roots provincetown came together make delectable beer,taste
9983,peach grape compliment one another well,taste
9983,bringing together three awesome breweries,taste
385,`` would great accompaniment meal since would enhance overwhelm eating,taste
385,could taste lime salt essence lime sharp tangy,taste
385,also label super cute look,taste
385,purchased bottled six pack,taste
385,subtle `` enough,taste
2411,pours nice copper color white head settles,appearance
2411,toasted malt aroma taste,ingredients
2411,bottle sampler pack,packaging
2411,well balanced,style
2411,nice,taste
3283,higher alcohol content careful love think mango flavor little less sugary strawberry prefer one,taste
3283,always drank pool lived arizona brings back many great memories,season
3283,delicious,taste
4842,white head clings edge glass,appearance
4842,bit sweet raw cake mix,taste
4842,tangerine citrus notes,aroma
4842,like citrusy aroma,aroma
4842,sticky mouthfeel,taste
4924,aroma grapefruit sweet malt fruit candy,taste
4924,typical session ipa,style
4924,tripla rooftop sauna,season
4924,minerals tropical fruits,taste
4924,flavour grapefruit,taste
3593,drink sooo tasty never get enough,taste
3593,clamato already made even better,ingredients
3593,used always make beer,taste
3593,new favourite drink,taste
4859,light sweetness juiciness,finish
4859,light orange color,appearance
4859,light bodied,taste
4859,light bitterness,finish
4859,tangerine hops,ingredients
43,refreshing taste recommend friends,taste
43,perfect summer drink,season
3268,liked flavors beer would loved flavors bit punch,taste
3268,bad beer price might buy,taste
3268,worth try,style
3268,cheap like,price
3268,overall,style
1832,amager usual amazing label story,taste
1832,stout glass taste,style
1832,dark brown color,appearance
1832,black color,appearance
1832,dark chocolate,ingredients
9207,pours crystal clear golden yellow,appearance
9207,standard pils aroma,taste
9207,small white head,appearance
9207,light plus bitter,taste
9207,light sweet,taste
3289,one go sweet drinks find heineken sweet,taste
3289,always super cold truly enjoy beer,taste
3289,many people fan due strong reaction,taste
3289,say tried one yet,style
1906,medium body strong bitterness lacks sharp bit many others,finish
1906,complex blend hops carries aroma flavor strong,ingredients
1906,flavors tropical fruit forward papaya pineapple,aroma
1906,pours golden clear white head,appearance
1906,bit papaya pineapple,aroma
3204,strictly summer drink,season
3204,ice cold lime,ingredients
3204,big fan beer,taste
3204,pricier beer,taste
3204,lime essential,ingredients
4403,pours initially clear reddish amber,appearance
4403,bit cloudy near end,appearance
4403,straddles line dunkel,style
4403,vienna lager,taste
4403,slightly sweetish,taste
5825,taste bitter sweet,finish
5825,tan head,appearance
5825,maple syrup,taste
5825,vineous,taste
5825,vanilla,style
5967,pours clear golden small head,appearance
5967,pretty nice crisp helles,taste
5967,dry grassy hoppy finish,taste
5967,dry hoppy bitterness,ingredients
5967,hints vanilla biscuits,taste
1818,aroma red grapes wood light sour note,taste
1818,slightly musty wood slightly burnt malt,taste
1818,blk creamish tan head,appearance
1818,c davis beer shoppe,place_of_service
1818,flavor red grape,taste
3369,powering either side flavor,taste
3369,must drank cold though,taste
3369,perfect hot summer day,season
3369,huge fan citrus beer,taste
3369,perfect water beer,taste
7611,ounce copped part parcel hop valley variety twelve pack,packaging
7611,mild aroma redolent tart citrus ruby red grapefruit,aroma
7611,effortless golden pour mellow frothing,appearance
7611,thirst quenching say least,style
7611,similar overall flavor profile,taste
1907,tropical fruit notes nose mango guava,taste
1907,somewhere traditional english ipa west coast,style
1907,finishes bitterness gases nicely,finish
1907,still appreciate brewery,taste
1907,mouth light body,taste
8033,hazy golden colour white head,appearance
8033,medium body carbonation,carbonation
8033,body,taste
8033,systembolaget,taste
8033,pine,aroma
440,nice light drink keep cool summer,season
440,take many feel buzz either,taste
440,super sweet good,style
440,love twisted tea,taste
5957,clear medium orange yellow colour average large,appearance
5957,flavor moderate sweet light bitter long duration,finish
5957,aroma moderate malty,taste
5957,tyres virtual tasting,taste
5957,texture oily watery,taste
317,got done shucking corn bailing hay rode clydesdale town pickup case,taste
317,beer ill ever buy history great flavor,taste
2826,pair beer orange got fantastic drink,taste
2826,consistently great,style
2826,smooth,taste
2826,crisp,taste
5868,frothy snow white head f,appearance
5868,magnum bottle web sb,packaging
5868,sweet yeasty ap,ingredients
5868,sweet yeasty,ingredients
5868,rich carbonated,carbonation
9202,malty nose little biscuity kiss caramel little bitter floral touch,taste
9202,slightly cloudy copperish golden thin sticky white head,appearance
9202,definitely little piney floral flavor,taste
9202,surprisingly balanced flavor bitter malty,taste
9861,nice retention lace actually smells like mango mango ipa,ingredients
9861,doughy malt medium bodied appropriately carbonated meh,carbonation
9861,mango grapefruit zest flavor,taste
9861,bit grapefruit zest well,taste
9861,thin white head,appearance
8276,rating many different states row without repeats,style
8276,good retention aroma melon,taste
8276,booze fairly well hidden,alcohol
8276,pretty nice overall,style
8276,white head,taste
4078,reasonably priced never disappoints,price
4078,great taste super heavy,taste
4078,beer whenever go,taste
4078,go,style
3781,high alcohol content easily enjoyed meal without making feel sloshed,alcohol
3781,prefer local ipas really beer drinker pretty good going,taste
3781,tasty,taste
1340,funky soured malty yeast notes big hit dry wheat grainy note big dose sweetness fruits finish,ingredients
1340,briney especially funky yeastie notes throughout lot range simple beer,taste
1340,white head fades fast leaves literally nothing top,appearance
1340,dry malts dash noticeable soured funky yeasts,ingredients
1340,briney clean wheat note makes better expected,ingredients
8957,tropical citrus aroma tangerine lemony lime flavor profile along sense dankness,aroma
8957,golden color quickly dissipating white head,appearance
8957,easy drink slightly bitter end,finish
6278,pours clear amber ruby notes,appearance
6278,going give one honest review,style
6278,taste light caramel raisin,ingredients
6278,dried fruit light hops,ingredients
6278,light tan head,appearance
5100,poured murky medium brown colour thin broken light tan head,appearance
5100,id love say alcohol well background,alcohol
5100,medium full bodied soft carbonation,carbonation
5100,aroma treacle toffee boozy alcohol,alcohol
5100,warm alcohol bitter palate,alcohol
3028,beer solid enjoy time year,taste
3028,average beer terms taste,taste
3028,also average price,price
7560,tropical fruit high alcohol content keeps coming back one elysian always seems shout quality regardless drinking dayglow,taste
7560,poured ounce bottle teku glass immediately noticed get best head retention,packaging
7560,mango notes coming slight carmelized alcohol burn,taste
7560,absolutely love tangerine orange also comes slight,taste
7560,curious possibly get better head retention,appearance
3342,prefer drink spritzers,style
3342,sweet drink one,style
3342,good refreshing,taste
3342,sweet,taste
15,started drinking less calories normal brand,style
15,like beer,taste
15,pricey,price
104,honestly buy pack get together taste really strong good,taste
104,yuengling amber lager beer,style
104,thus best beer ever,taste
104,fl oz cans,taste
104,pk,taste
7041,aromas fresh citrus hops leaning orange biscuit,ingredients
7041,dry side lingering bitter finish,finish
7041,decent carbonation little thin,carbonation
7041,flavors similar nose,taste
843,easy drink plenty size options choose,style
843,always end going back bud light,taste
843,need beer affordable good taste,taste
843,bud light,taste
843,price point,price
252,definitely taste difference beer conossiour whatsoever,taste
252,six pack tall cans,taste
252,beers comparison seem watery,taste
252,light beer perfect,taste
252,packaging classy tasteful,taste
4829,west coast hops sweet malt also dank earth warms,ingredients
4829,random find beach liquors pcb another variant,packaging
4829,gold color thin white head lacing,appearance
4829,flavor mildy bitter first lingers pithy,finish
4829,pours cloudy yellow,appearance
106,throw orange slice got great tasting,ingredients
106,blue moon belgian white ale beer,taste
106,beer light side liked,taste
106,perfect summertime drink,season
106,refreshing beer,taste
5541,pours translucent brassy gold large foamy white head lasted,appearance
5541,flavor definite dank weed aspects,ingredients
5541,aroma citrus passion fruit,aroma
5541,citrus green melon,taste
5541,foamy mouth,taste
2733,good refreshing flavor sirves ice cold,taste
2733,good drink sunday game barbecue,season
7230,pours nearly pitch black color capped small tan layer foam settles quickly thin film,appearance
7230,nearly full bodied smooth soft carbonation leads slightly bitter sweet dry,carbonation
7230,earthy roast dark roasted malt base notes bourbon oak vanilla,taste
7230,light barrel notes really tasty stout sierra nevada,style
7230,really nice stuff heavy peanut butter signs alcohol,alcohol
1868,getting grapefruit citrus flavors slight toffee taste background,aroma
1868,finish mild bitterness citrus flavors,taste
1868,smells malts lime zest,taste
1868,dark yellow hazy sediment,appearance
5040,beer average average style something wanted get back notes technology time,taste
5040,words describe beer toasted malts,ingredients
5040,big red wine barrel character,taste
5040,backlog rating froma draft sample,taste
5040,yeast,taste
5307,keith shore drawing two people balancing bucket trying hold aggressive crocodiles,style
5307,aroma medium intense light sweet fruitiness mingling citric notes,taste
5307,settles thin layer foam almost covering surface beer,appearance
5307,flavor moderately intense light sweetness followed stronger,finish
5307,series named translations silly danish proverbs,style
5982,proper pull engine brewery,taste
5982,smooth clean palate,palate
5982,white head,taste
5982,pours beautiful,appearance
5982,lovely bitterness,finish
1458,taste quite mxi tart notes oak light sour notes medium level funky ester,taste
1458,poured clear golden color ale large white foamy head light retention lacing,appearance
1458,aroma light funky ester notes tart notes enjoyable,aroma
1458,nice wild ale right balance complexity drinkability,style
1458,body average good carbonation,carbonation
4860,smooth pale ale biscuity malty base flavor gentle honey notes mellow grassy bitterness,taste
4860,slightly cloudy rich golden slight copper hue thin foamy white head,appearance
4860,nice nose bright pale biscuity malts mellow grassy honey undertone,taste
4860,smooth pale malty,taste
3084,taste tropical fruity without pure juice flavor mixed drinks,taste
3084,neighborhood walmart like weeks ago restocked,taste
3084,definitely taste feel alcohol,alcohol
3084,actual product reviewing show,style
3084,fave flavors guava coconut,taste
3330,alcohol flavor overwhelming smooth,alcohol
3330,love lemonade refreshing,ingredients
149,michelob ultra superior light beer quite flavorful light beer,taste
149,get enjoy beer without sugar calories,taste
149,priced fairly compared beer,taste
149,happyhour michelob influenster,taste
149,think good value,price
5238,original small beer dark lager,taste
5238,clear dark brown colour small,appearance
5238,flavor moderate sweet average duration,finish
5238,aroma moderate malty,taste
5238,body light medium,taste
115,always pack like ready mi mini fridge,taste
115,blue moon one favorite beer,taste
